"분류별(1)",1997.01,1997.02,1997.03,1997.04,1997.05,1997.06,1997.07,1997.08,1997.09,1997.10,1997.11,1997.12,1998.01,1998.02,1998.03,1998.04,1998.05,1998.06,1998.07,1998.08,1998.09,1998.10,1998.11,1998.12,1999.01,1999.02,1999.03,1999.04,1999.05,1999.06,1999.07,1999.08,1999.09,1999.10,1999.11,1999.12,2000.01,2000.02,2000.03,2000.04,2000.05,2000.06,2000.07,2000.08,2000.09,2000.10,2000.11,2000.12,2001.01,2001.02,2001.03,2001.04,2001.05,2001.06,2001.07,2001.08,2001.09,2001.10,2001.11,2001.12,2002.01,2002.02,2002.03,2002.04,2002.05,2002.06,2002.07,2002.08,2002.09,2002.10,2002.11,2002.12,2003.01,2003.02,2003.03,2003.04,2003.05,2003.06,2003.07,2003.08,2003.09,2003.10,2003.11,2003.12,2004.01,2004.02,2004.03,2004.04,2004.05,2004.06,2004.07,2004.08,2004.09,2004.10,2004.11,2004.12,2005.01,2005.02,2005.03,2005.04,2005.05,2005.06,2005.07,2005.08,2005.09,2005.10,2005.11,2005.12,2006.01,2006.02,2006.03,2006.04,2006.05,2006.06,2006.07,2006.08,2006.09,2006.10,2006.11,2006.12,2007.01,2007.02,2007.03,2007.04,2007.05,2007.06,2007.07,2007.08,2007.09,2007.10,2007.11,2007.12,2008.01,2008.02,2008.03,2008.04,2008.05,2008.06,2008.07,2008.08,2008.09,2008.10,2008.11,2008.12,2009.01,2009.02,2009.03,2009.04,2009.05,2009.06,2009.07,2009.08,2009.09,2009.10,2009.11,2009.12,2010.01,2010.02,2010.03,2010.04,2010.05,2010.06,2010.07,2010.08,2010.09,2010.10,2010.11,2010.12,2011.01,2011.02,2011.03,2011.04,2011.05,2011.06,2011.07,2011.08,2011.09,2011.10,2011.11,2011.12,2012.01,2012.02,2012.03,2012.04,2012.05,2012.06,2012.07,2012.08,2012.09,2012.10,2012.11,2012.12,2013.01,2013.02,2013.03,2013.04,2013.05,2013.06,2013.07,2013.08,2013.09,2013.10,2013.11,2013.12,2014.01,2014.02,2014.03,2014.04,2014.05,2014.06,2014.07,2014.08,2014.09,2014.10,2014.11,2014.12,2015.01,2015.02,2015.03,2015.04,2015.05,2015.06,2015.07,2015.08,2015.09,2015.10,2015.11,2015.12,2016.01,2016.02,2016.03,2016.04,2016.05,2016.06,2016.07,2016.08,2016.09,2016.10,2016.11,2016.12,2017.01,2017.02,2017.03,2017.04,2017.05,2017.06,2017.07,2017.08,2017.09,2017.10,2017.11,2017.12,2018.01,2018.02,2018.03,2018.04,2018.05,2018.06,2018.07,2018.08,2018.09,2018.10,2018.11,2018.12,2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.10,2019.11,2019.12,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06
"합계",13929,11951,12706,11599,11031,9928,10664,11242,11135,12705,13128,15351,11962,10849,12067,10881,10359,9800,9978,9997,10682,10804,11749,13807,13466,12179,13218,11956,10270,10121,11144,11059,11172,11851,12532,14059,14124,13546,13777,12153,12121,11083,10952,11579,11442,11823,13118,14240,15012,13253,13900,12156,11929,11773,10901,11555,12146,11716,13286,15475,15324,13698,14301,13072,12110,11592,11901,12267,12544,13230,14656,16180,16430,14478,14402,12870,12832,12519,12326,12444,12078,13653,14366,16153,15933,14890,15116,13373,13040,12609,12409,12911,12567,13564,13956,16084,16487,14754,15977,13977,13081,12965,12502,13328,13281,13274,14785,17131,16926,15120,15595,14080,13810,13298,12656,13747,13500,13615,15272,17255,17178,15742,15889,15265,14376,13642,13967,13958,13820,14820,16036,17323,17813,16519,16644,14724,14798,13778,13962,14048,14157,14391,14998,17222,16694,15434,15587,14830,14447,13854,14214,14179,14133,15097,15812,17798,18144,16379,16758,16464,15474,15024,14830,15371,14889,15689,17193,19184,19750,17597,18346,15966,15883,15645,16333,16455,15974,16702,17236,19352,19370,18639,17810,16348,16408,15946,16100,16273,16118,16456,17930,19571,20114,17794,17934,16820,16347,16214,16621,16537,15790,16550,17873,19768,19492,17781,18226,17172,16828,16353,16608,17094,16216,17038,17516,20123,20234,18470,18820,17524,16745,16518,16912,17599,16796,17643,17955,20175,20533,19486,19030,17295,17417,16902,17221,18447,17482,17874,19232,21015,21130,19849,20424,18098,18059,17668,18723,18529,18228,18284,19911,22118,22427,20374,19726,18882,18642,18117,18588,19035,18181,18111,19484,21801,22482,19934,19804,19128,17918,17523,18529,19355,17402,18199,19484,21595,21383,19557,18994,17692,17969,17074,17574,17731,17765,17387,18419,21018,21676,19708,20010,18837,18539,18258,18982,19170,18783,18599,19546,22557,23065,20456,20217,18406,18946,17328
"석탄",1625,1450,1634,1517,1533,1421,1559,1556,1579,1670,1634,1713,1508,1387,1597,1544,1493,1449,1466,1483,1478,1441,1540,1607,1522,1313,1566,1526,1544,1512,1557,1527,1493,1591,1555,1619,1526,1365,1658,1565,1706,1622,1704,1657,1520,1755,1888,1696,1634,1433,1728,1676,1673,1780,1757,1715,1630,1775,1744,1810,1836,1502,1755,1693,1813,1754,1844,1739,1703,1873,2005,1965,1986,1751,1871,1840,1876,1733,1930,1808,1776,1988,1911,1959,1846,1772,1830,1730,1848,1762,1893,1776,1722,2026,1854,2041,1896,1630,1843,1642,1863,1672,1731,1880,2072,2008,1965,1951,1867,1693,1781,1704,1915,1890,1681,1887,1996,1978,2050,2020,1991,1917,1919,1977,2003,1889,2093,1961,1838,2132,2180,2155,2214,2001,2143,2087,2226,2173,2098,2028,2173,2272,2200,2264,1873,1542,1728,1711,1828,1802,2164,1945,2126,2168,2108,2020,2099,1969,2250,2381,2345,2479,2292,2336,2277,2408,2542,2811,2530,2470,2934,2645,2737,2734,2788,2700,2594,2910,2922,2898,2578,2506,2604,2584,2685,2358,2438,2610,2569,2714,2706,2665,2621,2455,2606,2445,2525,2724,2835,2518,2540,2699,2751,2883,2904,2707,2885,3110,2948,2966,2806,2928,2849,3070,2922,3102,2807,2672,2894,2792,3025,2853,2983,2841,2863,3175,2822,3121,2710,2460,2592,2551,2582,2478,2827,2745,2819,2903,2911,2763,2969,2541,2883,2594,2736,2709,2911,2728,2727,2706,2909,2947,2779,2488,2618,2641,2770,2745,2734,2735,2516,2775,2833,2845,2647,2616,2738,2667,2700,2647,2660,2751,2443,2768,2704,2715,2672,2346,2576,2394,2285,2377,2558,2600,2622,2642,2534,2853,2711,2365,2798,2562,2705,2475,2693,2754,2665,2594,2742,2745,2686,2256,2369,2259,2640,2563
"석유",9530,7798,8553,7679,7370,6489,7111,7640,7527,8800,8887,10651,7589,6630,7906,6972,6819,6397,6575,6574,7180,7278,7665,9126,8751,7800,8723,7748,6437,6424,7418,7334,7445,7790,8075,8984,8784,8410,8561,7548,7716,7001,6786,7415,7454,7377,8019,8768,9140,7683,8383,7163,7440,7383,6538,7190,7879,7146,8159,9512,8914,8019,8648,7860,7168,7013,7195,7629,7943,8113,8518,9616,9315,7991,8174,7180,7646,7752,7381,7627,7304,8324,8533,9443,8958,7894,8555,7540,7623,7530,7222,7768,7612,8035,8000,9205,8932,7711,8936,7894,7500,7780,7282,7937,7731,7536,8393,9446,8818,7774,8492,7697,7928,7728,7324,8078,7774,7997,8597,9457,9027,8162,8592,8321,8187,7867,8005,8016,8118,8530,8797,9097,9012,8160,8732,7760,8297,7500,7660,7825,7900,7771,7774,8924,8294,7990,8252,8107,8324,7970,7843,8028,7744,8586,8310,9067,8605,7789,8327,8322,8226,8020,7946,8386,8056,8577,8913,9353,8967,8126,8742,7447,8080,8080,8578,8769,8522,8746,8751,9486,8872,8396,8137,7669,8448,8551,8426,8340,8431,8585,8807,9021,8966,7828,8448,8037,8271,8302,8395,8612,8075,8510,8779,9298,8717,7916,8630,8217,8584,8258,8432,8913,8307,8679,8614,9398,9253,8519,8978,8623,8356,8422,8615,9274,8697,9205,9096,9816,9682,9366,9354,8737,9441,9058,8990,10050,9362,9636,9925,10663,9876,9272,10196,9145,9717,9460,10010,9857,9799,10122,10195,10641,10381,9228,9638,9679,9837,9509,9713,9733,9716,9252,9640,10503,10649,9205,9560,9494,9099,9032,9814,10183,9012,9490,9958,10630,9995,9001,8868,8618,9841,8960,9050,8938,8903,8742,8925,9502,9346,8999,9612,9526,9557,9649,9831,9763,9946,9810,9652,11021,10705,9198,9726,9092,9965,8550
"천연가스",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,26,32,79,82,68,58,62,71,88,72,57,55,46,59,49,40,60,77,45,41,48,39,36,42,39,42,33,44,48,60,77,66,56,43,37,32,38,29,35,40,51,59,66,52,54,40,29,37,38,37,45,42,64,85,101,83,97,84,65,67,71,73,63,72,92,121,76,100,120,104,110,105,137,139,125,87,59,89,83,88,130,114,132,102,121,126,64,50,64,83,88,78,43,48,49,52,103,91,72,40,67,82,87,66,50,37,36,59,77,87,88,39,53,90,89,82,46,42,42,77,88,87,61,58,88,91,97,78,62,68,95,117,118,96,73,50,92,96,94,99,88,106,120,126,131,132,123,97,117,137,138,121,120,92,132,180,206,210,178,206,229,226,234,219,196,227,199,237,274,286,242,249,260,288,282,284,286,268,273,302,318,327,304,314,309,334,268,236,272,288,285,313,347,323,279,264,270,336,335,301,272,257,261,274
"도시가스",1124,1147,921,818,588,473,386,358,386,590,900,1232,1243,1261,993,812,526,453,402,381,398,502,888,1324,1427,1404,1206,978,626,498,420,406,430,640,1022,1456,1762,1816,1536,1133,819,574,486,473,537,716,1132,1577,1982,1956,1607,1223,805,583,544,512,519,686,1146,1728,2057,1863,1578,1235,912,668,632,597,633,889,1568,1937,2313,2136,1789,1384,982,729,683,638,669,896,1332,1918,2259,2390,1958,1464,1050,813,732,689,696,913,1344,1884,2536,2490,2242,1650,1101,853,761,710,729,942,1452,2345,2835,2451,2172,1660,1153,896,826,812,811,891,1532,2341,2683,2396,2160,1811,1210,948,860,838,820,1094,1718,2416,2798,2711,2263,1602,1178,1050,988,929,966,1166,1694,2418,2787,2377,2133,1653,1176,959,948,922,940,1095,1795,2673,3115,2641,2329,1974,1418,1075,990,902,893,1191,1868,2686,3604,2780,2567,1971,1445,1214,1171,1101,1125,1402,1778,2712,3227,3138,2655,2002,1454,1246,1274,1229,1257,1554,2376,3317,3619,3051,2640,2216,1656,1334,1311,1228,1183,1487,2188,2965,3190,2812,2459,1822,1484,1279,1293,1181,1163,1415,1935,3007,3118,2669,2485,1844,1377,1196,1165,1099,1078,1289,1790,2569,3140,2886,2511,1758,1357,1178,1152,1072,1046,1303,2017,2766,3127,3030,2580,1888,1380,1192,1142,1097,1154,1295,2153,3219,3648,3331,2630,1931,1556,1330,1288,1205,1187,1588,2190,3094,3478,2971,2558,2132,1580,1310,1244,1160,1144,1395,2049,2922,3168,2913,2481,1949,1411,1162,1132,1115,1135,1440,2067,3127,3737,3061,2522,1860,1531,1300,1213,1161,1142,1481,2174,3104,3630,3338,2706,2023,1518,1336
"전력",1395,1321,1384,1399,1378,1416,1479,1574,1513,1451,1481,1476,1359,1326,1344,1351,1344,1358,1391,1428,1484,1379,1416,1460,1450,1379,1447,1477,1463,1522,1582,1635,1644,1583,1597,1643,1689,1629,1704,1642,1646,1693,1779,1848,1742,1689,1752,1788,1832,1814,1821,1800,1757,1811,1837,1929,1910,1812,1871,1970,2094,1934,1964,1963,1916,1912,1966,2032,1970,1974,2091,2131,2272,2145,2114,2094,2000,2018,2030,2089,2047,2046,2140,2254,2301,2329,2266,2203,2114,2161,2200,2343,2205,2130,2247,2340,2514,2365,2411,2354,2229,2306,2354,2446,2349,2250,2380,2629,2737,2578,2517,2479,2352,2375,2408,2568,2531,2263,2487,2696,2799,2674,2592,2612,2496,2512,2567,2724,2638,2511,2690,2886,3021,2939,2863,2727,2590,2610,2753,2840,2694,2615,2654,2810,2954,2864,2805,2793,2618,2673,2789,2842,2883,2670,2884,3151,3415,3201,3059,3094,2908,2910,3057,3205,3118,2886,3105,3379,3708,3427,3306,3245,3050,3075,3208,3300,3171,3063,3172,3412,3654,3606,3468,3311,3129,3148,3281,3432,3258,3002,3262,3576,3826,3527,3399,3355,3222,3214,3369,3496,3335,3179,3314,3603,3765,3545,3495,3377,3216,3256,3441,3444,3283,3253,3332,3667,3908,3597,3515,3447,3258,3298,3388,3607,3416,3222,3344,3594,3840,3747,3633,3451,3288,3412,3491,3819,3544,3315,3462,3744,3887,3820,3660,3510,3332,3412,3716,3900,3641,3300,3551,3937,4159,4020,3692,3615,3486,3530,3787,4260,3761,3438,3604,3897,4184,3814,3706,3650,3501,3493,3695,4090,3754,3494,3536,3847,3984,3827,3687,3481,3296,3419,3618,3836,3880,3360,3539,3872,4193,3886,3704,3603,3512,3615,3954,4208,3854,3598,3683,4064,4283,4089,3942,3763,3630,3699
"열",151,135,106,73,46,24,16,10,28,67,103,150,149,133,104,72,45,24,15,10,26,59,100,145,180,152,130,76,45,22,15,15,22,74,118,185,203,171,146,85,50,25,17,17,28,83,133,208,238,188,162,87,42,22,19,15,22,65,139,219,225,183,150,86,52,26,21,23,34,100,189,226,297,218,192,105,55,35,33,31,41,95,153,267,272,220,189,105,65,32,32,23,35,87,150,239,300,265,224,115,61,32,28,25,33,90,160,316,285,247,211,129,58,36,35,26,35,60,163,263,282,218,209,132,62,35,32,28,38,85,184,271,321,289,198,111,65,40,31,29,35,79,185,285,336,240,213,124,62,38,34,29,35,80,197,320,385,274,249,167,78,42,33,30,40,102,204,334,419,289,263,154,81,50,46,39,42,106,156,332,414,375,281,162,69,46,37,32,41,80,206,360,415,328,251,176,82,46,44,37,40,87,221,343,288,232,180,96,61,36,33,32,34,71,152,314,383,314,260,142,74,50,46,42,44,85,194,333,447,361,266,130,77,55,57,48,47,92,238,365,440,380,288,149,82,64,65,62,59,99,277,476,535,445,294,167,108,72,70,64,61,143,257,465,504,409,303,201,102,76,78,78,70,112,270,445,463,408,313,213,110,82,83,91,79,145,277,505,587,418,298,173,128,97,103,92,85,144,283,494,574,497,345,177,117,99
"신재생 및 기타",103,99,109,113,116,105,112,105,102,128,124,130,115,111,123,129,132,120,128,120,116,145,140,146,136,132,146,152,156,142,152,142,137,172,166,172,161,155,172,180,184,168,179,168,162,203,195,203,186,179,199,206,211,194,206,194,185,233,226,236,199,196,207,236,248,218,242,247,261,280,285,305,248,237,262,268,274,251,268,251,240,304,297,312,297,286,318,330,339,310,331,310,297,373,360,376,308,293,321,322,328,300,320,300,288,366,365,385,322,306,336,339,346,318,336,316,304,385,382,402,351,334,368,373,381,350,371,348,334,423,418,439,370,352,389,395,404,372,392,369,354,447,440,462,384,368,402,402,410,376,399,375,360,456,454,481,424,422,448,442,434,431,441,439,441,454,469,501,446,405,414,400,380,388,405,407,394,389,399,424,543,530,534,507,492,495,524,504,498,471,509,549,579,526,547,543,542,542,565,555,544,547,555,594,541,503,529,514,500,499,526,509,492,510,508,545,675,617,641,634,612,622,626,650,636,609,621,651,616,587,613,601,577,604,586,616,592,575,588,619,736,707,729,706,692,704,748,752,726,667,709,762,787,741,734,756,753,750,790,828,762,709,731,770,788,700,743,758,738,728,763,807,739,691,707,748,818,779,784,770,752,773,814,826,842,744,767,825,834,743,803,825,820,808,843,870,812,709,742,794,852,778,856,835,816,807
