"항목","시점",제조업
"가동률지수(계절조정)","2008.01",101.600
"가동률지수(계절조정)","2008.02",99.900
"가동률지수(계절조정)","2008.03",101.300
"가동률지수(계절조정)","2008.04",101.900
"가동률지수(계절조정)","2008.05",99.500
"가동률지수(계절조정)","2008.06",99.000
"가동률지수(계절조정)","2008.07",97.600
"가동률지수(계절조정)","2008.08",97.500
"가동률지수(계절조정)","2008.09",96.000
"가동률지수(계절조정)","2008.10",97.600
"가동률지수(계절조정)","2008.11",86.600
"가동률지수(계절조정)","2008.12",77.600
"가동률지수(계절조정)","2009.01",78.000
"가동률지수(계절조정)","2009.02",83.000
"가동률지수(계절조정)","2009.03",86.800
"가동률지수(계절조정)","2009.04",90.100
"가동률지수(계절조정)","2009.05",91.300
"가동률지수(계절조정)","2009.06",94.300
"가동률지수(계절조정)","2009.07",96.300
"가동률지수(계절조정)","2009.08",96.200
"가동률지수(계절조정)","2009.09",99.300
"가동률지수(계절조정)","2009.10",97.000
"가동률지수(계절조정)","2009.11",97.400
"가동률지수(계절조정)","2009.12",98.500
"가동률지수(계절조정)","2010.01",97.0
"가동률지수(계절조정)","2010.02",98.6
"가동률지수(계절조정)","2010.03",99.4
"가동률지수(계절조정)","2010.04",99.7
"가동률지수(계절조정)","2010.05",100.2
"가동률지수(계절조정)","2010.06",100.1
"가동률지수(계절조정)","2010.07",101.2
"가동률지수(계절조정)","2010.08",99.3
"가동률지수(계절조정)","2010.09",99.7
"가동률지수(계절조정)","2010.10",99.4
"가동률지수(계절조정)","2010.11",99.8
"가동률지수(계절조정)","2010.12",102.4
"가동률지수(계절조정)","2011.01",102.7
"가동률지수(계절조정)","2011.02",99.1
"가동률지수(계절조정)","2011.03",101.0
"가동률지수(계절조정)","2011.04",99.1
"가동률지수(계절조정)","2011.05",100.3
"가동률지수(계절조정)","2011.06",100.8
"가동률지수(계절조정)","2011.07",100.4
"가동률지수(계절조정)","2011.08",100.1
"가동률지수(계절조정)","2011.09",100.7
"가동률지수(계절조정)","2011.10",99.9
"가동률지수(계절조정)","2011.11",98.9
"가동률지수(계절조정)","2011.12",96.7
"가동률지수(계절조정)","2012.01",99.0
"가동률지수(계절조정)","2012.02",99.9
"가동률지수(계절조정)","2012.03",98.2
"가동률지수(계절조정)","2012.04",98.8
"가동률지수(계절조정)","2012.05",99.7
"가동률지수(계절조정)","2012.06",97.7
"가동률지수(계절조정)","2012.07",96.7
"가동률지수(계절조정)","2012.08",92.6
"가동률지수(계절조정)","2012.09",95.8
"가동률지수(계절조정)","2012.10",96.8
"가동률지수(계절조정)","2012.11",97.4
"가동률지수(계절조정)","2012.12",97.3
"가동률지수(계절조정)","2013.01",98.1
"가동률지수(계절조정)","2013.02",95.6
"가동률지수(계절조정)","2013.03",94.4
"가동률지수(계절조정)","2013.04",94.5
"가동률지수(계절조정)","2013.05",95.0
"가동률지수(계절조정)","2013.06",94.3
"가동률지수(계절조정)","2013.07",92.5
"가동률지수(계절조정)","2013.08",95.8
"가동률지수(계절조정)","2013.09",92.7
"가동률지수(계절조정)","2013.10",95.7
"가동률지수(계절조정)","2013.11",95.1
"가동률지수(계절조정)","2013.12",96.1
"가동률지수(계절조정)","2014.01",96.9
"가동률지수(계절조정)","2014.02",94.4
"가동률지수(계절조정)","2014.03",96.0
"가동률지수(계절조정)","2014.04",96.4
"가동률지수(계절조정)","2014.05",93.1
"가동률지수(계절조정)","2014.06",94.8
"가동률지수(계절조정)","2014.07",96.5
"가동률지수(계절조정)","2014.08",92.9
"가동률지수(계절조정)","2014.09",93.3
"가동률지수(계절조정)","2014.10",92.3
"가동률지수(계절조정)","2014.11",92.7
"가동률지수(계절조정)","2014.12",95.1
"가동률지수(계절조정)","2015.01",92.4
"가동률지수(계절조정)","2015.02",92.8
"가동률지수(계절조정)","2015.03",91.9
"가동률지수(계절조정)","2015.04",92.9
"가동률지수(계절조정)","2015.05",91.2
"가동률지수(계절조정)","2015.06",93.6
"가동률지수(계절조정)","2015.07",92.8
"가동률지수(계절조정)","2015.08",94.1
"가동률지수(계절조정)","2015.09",93.3
"가동률지수(계절조정)","2015.10",92.4
"가동률지수(계절조정)","2015.11",90.7
"가동률지수(계절조정)","2015.12",91.5
"가동률지수(계절조정)","2016.01",90.4
"가동률지수(계절조정)","2016.02",91.5
"가동률지수(계절조정)","2016.03",91.5
"가동률지수(계절조정)","2016.04",89.1
